ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
gas	Garasia, Adiwasi	Adiwasi Garasia	IN	India	SAS	Southern Asia	Asia	100000	6	100000	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil	24.3645	72.1171	6a	T	0	0	1	0	0	0
gat	Kenati	Kenati	PG	Papua New Guinea	MEL	Melanesia	Pacific	950	3	950	1	Trans-New Guinea	Trans-New Guinea, Kainantu-Goroka, Kainantu	-6.7474	145.8783	5	T	0	1	0	0	0	0
gau	Gadaba, Mudhili	Mudhili Gadaba	IN	India	SAS	Southern Asia	Asia	8000	4	8000	1	Dravidian	Dravidian, Central, Parji-Gadaba	18.5429	83.2059	5	T	0	1	0	0	0	0
gaw	Nobonob	Nobonob	PG	Papua New Guinea	MEL	Melanesia	Pacific	5000	4	5000	1	Trans-New Guinea	Trans-New Guinea, Madang, Croisilles, Hanseman	-5.0853	145.7162	4	T	1	0	0	0	0	0
gax	Oromo, Borana-Arsi-Guji	Borana-Arsi-Guji Oromo	ET	Ethiopia	EAF	Eastern Africa	Africa	8099600	7	8099600	3	Afro-Asiatic	Afro-Asiatic, Cushitic, East, Oromo	4.6312	39.2913	5	T	0	1	0	0	0	0
gay	Gayo	Gayo	ID	Indonesia	SEA	South-Eastern Asia	Asia	300000	6	300000	1	Austronesian	Austronesian, Malayo-Polynesian, Northwest Sumatra-Barrier Islands	4.4182	97.3489	6b	T	0	0	0	1	0	0
gaz	Oromo, West Central	West Central Oromo	ET	Ethiopia	EAF	Eastern Africa	Africa	19196000	8	19196000	1	Afro-Asiatic	Afro-Asiatic, Cushitic, East, Oromo	8.8652	36.8068	2	T	1	0	0	0	0	0
gbb	Kaytetye	Kaytetye	AU	Australia	ANZ	Australia and New Zealand	Pacific	120	3	120	1	Australian	Australian, Pama-Nyungan, Arandic	-21.5081	133.7102	6b	F	0	0	0	1	0	0
gbd	Karajarri	Karajarri	AU	Australia	ANZ	Australia and New Zealand	Pacific	41	2	41	1	Australian	Australian, Pama-Nyungan, South-West, Marngu	-18.7000	122.4074	8a	F	0	0	0	0	1	0
gbe	Niksek	Niksek	PG	Papua New Guinea	MEL	Melanesia	Pacific	930	3	930	1	Sepik	Sepik, Sepik Hill, Sanio	-4.8222	142.4050	6a	F	0	0	1	0	0	0
gbf	Gaikundi	Gaikundi	PG	Papua New Guinea	MEL	Melanesia	Pacific	1200	4	1200	1	Sepik	Sepik, Ndu	-4.0371	143.0927	5	T	0	1	0	0	0	0
gbg	Gbanziri	Gbanziri	CF	Central African Republic	MAF	Middle Africa	Africa	17500	5	17500	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Sere-Ngbaka-Mba, Ngbaka-Mba, Ngbaka, Western, Gbanzili	4.5487	20.2729	6a	F	0	0	1	0	0	0
